,link,name,username,text,date,retweeted,No_of_likes,No-of_retweets
13,https://twitter.com/lekxylaw/status/1698682007239250334#m,Akinlade O Lawrence,@lekxylaw,'Let not the one who puts on his armor boast like the one who takes it off.' ” 1 Kings 20:11 Gbogunmi in #jagunjagunmovie  was so confident to face Gbotija without a shield  only to be shocked just as Manchester United when Arsenal whooped them 3-1!,"Sep 4, 2023 · 12:58 PM UTC",False,0,0
14,https://twitter.com/lekxylaw/status/1698678973834711296#m,Akinlade O Lawrence,@lekxylaw,“That boy calls you father. Do not bear a hand in his death.”  Advice to Okonkwo in Chinua Achebe's Things Fall Apart and Gbogunmi's disposition when asked to fight Gbotija in @realfemiadebayo 's #jagunjagunmovie,"Sep 4, 2023 · 12:46 PM UTC",False,0,0
15,https://twitter.com/fortunateme247/status/1698528886747734451#m,Adenle Adeyinka,@fortunateme247,Me as GBOGUNMI: Wo Mo Broki o Gbese Buruku N Be Lorunmi.  #JagunJagunMovie @realfemi,"Sep 4, 2023 · 2:50 AM UTC",False,0,0
16,https://twitter.com/yomigold1606/status/1698258667668217928#m,YomiGold INTUITION 🗯️,@yomigold1606,"All 👀👀👀👁👁👁on d AMVCA All👀👀👀👁👁👁on d OSCARS dz project #JagunJagunMovie dserv a big recognition in INDIGENOUS CATEGORY  @realfemiadebayo deserves AMVCA best actor and also best actor in OSCARS INDIGENOUS MOVIE..if this doesn't happen,PROTEST YAAA!!!","Sep 3, 2023 · 8:56 AM UTC",False,2,0
17,https://twitter.com/AgbakwaraHopsy/status/1698083965028982982#m,Agba kwara (SENIOR KUDI),@AgbakwaraHopsy,Yoruba women when explaining INTRESTING movie 😂😂😂  Watch JAGUN JAGUN on #Netflix #JagunJagunMovie #Nollywood #netflixandchill,"Sep 2, 2023 · 9:22 PM UTC",False,6,4
18,https://twitter.com/YettysAdventure/status/1698015307627995428#m,Yetty’s Adventures,@YettysAdventure,"It’s #Saturday. A good day for Popcorn, Netflix and JagunJagun @femiadebayo370  . #popcorn #netflix #jagunjagunmovie #jagunjagun #OnePieceNetflix #AsiaCup2023 #Adeherself #INDvPAK","Sep 2, 2023 · 4:49 PM UTC",False,2,0
19,https://twitter.com/euphoria360_/status/1697908472665297380#m,Euphoria Media,@euphoria360_,"You people don’t rate even Ogundiji at all.   Ogundiji himself!  The only man that can eat 9 snails at once! Ehn, if e easy - you sef do am.   Subscribe to Netflix and see why even Ogundiji deserves his accolades!  #JusticeforOgundiji #JagunJagunMovie #euphoria360media","Sep 2, 2023 · 9:45 AM UTC",False,37,4
20,https://twitter.com/hidraw_/status/1697654963122397393#m,David_de_creator,@hidraw_,"https://www.legit.ng/people/1551929-i-created-gbotijas-coffin-computer-artist-generated-ogundijis-mansion-jagun-jagun-speaks-craft/  I am glad to have been interviewed by Legit where I got to share my work process on #JagunJagunMovie. You can read the article here.  I really thank @niyiakinmolayan who gave me the opportunity to work on the project, as well as @realfemiadebayo .","Sep 1, 2023 · 4:57 PM UTC",False,25,5
21,https://twitter.com/OmobolanleTnt/status/1697549393535049957#m,BÓLÁNLÉ OMO EDO,@OmobolanleTnt,"You can call me Omobolanle Aduke Iroyinayokiitan 📌  Ijo Ayo,Iroyin Ayo, ko nii tan ninu ile wa losu yii🙏🙏  Look Insipred by Iroyinogunkiitan from #JagunJagunMovie   Happy New Month 💕🤗","Sep 1, 2023 · 9:58 AM UTC",False,0,0
22,https://twitter.com/OmobolanleTnt/status/1697547739192606925#m,BÓLÁNLÉ OMO EDO,@OmobolanleTnt,"You can call me Omobolanle Aduke Iroyinayokiitan 📌  Ijo Ayo,Iroyin Ayo, ko nii tan ninu ile wa losu yii🙏🙏  Look Insipred by Iroyinogunkiitan from #JagunJagunMovie   Happy New Month 💕🤗","Sep 1, 2023 · 9:51 AM UTC",False,0,0
